Precision,Recall,F1-Score,Accuracy
1.0,1.0,1.0,1.0
1.0,0.06896551724137931,0.12903225806451613,0.06896551724137931
1.0,0.13157894736842105,0.23255813953488372,0.13157894736842105
1.0,0.9862068965517241,0.9930555555555556,0.9862068965517241
1.0,0.9621212121212122,0.9806949806949807,0.9621212121212122
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.98,0.98989898989899,0.98
1.0,0.9924812030075187,0.9962264150943396,0.9924812030075187
1.0,1.0,1.0,1.0
1.0,0.99375,0.9968652037617556,0.99375
1.0,0.9701492537313433,0.9848484848484849,0.9701492537313433
1.0,0.7533333333333333,0.8593155893536121,0.7533333333333333
1.0,0.9770992366412213,0.9884169884169884,0.9770992366412213
1.0,0.981651376146789,0.9907407407407407,0.981651376146789
0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
1.0,0.9754601226993865,0.9875776397515528,0.9754601226993865
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.9236641221374046,0.9603174603174602,0.9236641221374046
1.0,0.7946428571428571,0.8855721393034826,0.7946428571428571
1.0,0.9637681159420289,0.981549815498155,0.9637681159420289
1.0,0.8992805755395683,0.9469696969696969,0.8992805755395683
1.0,0.9820359281437125,0.9909365558912386,0.9820359281437125
0.0,0.0,0.0,0.0
1.0,0.92,0.9583333333333334,0.92
1.0,1.0,1.0,1.0
1.0,0.5765765765765766,0.7314285714285714,0.5765765765765766
1.0,0.2777777777777778,0.4347826086956522,0.2777777777777778
0.0,0.0,0.0,0.0
1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
0.0,0.0,0.0,0.0
1.0,0.9928057553956835,0.996389891696751,0.9928057553956835
1.0,0.9538461538461539,0.9763779527559054,0.9538461538461539
1.0,0.03571428571428571,0.0689655172413793,0.03571428571428571
1.0,0.9733333333333334,0.9864864864864865,0.9733333333333334
1.0,0.7890625,0.8820960698689956,0.7890625
1.0,0.17117117117117117,0.2923076923076923,0.17117117117117117
1.0,1.0,1.0,1.0
1.0,0.943089430894309,0.9707112970711297,0.943089430894309
1.0,0.49193548387096775,0.6594594594594595,0.49193548387096775
1.0,1.0,1.0,1.0
1.0,0.992,0.9959839357429718,0.992
1.0,0.9430379746835443,0.9706840390879479,0.9430379746835443
1.0,0.9829059829059829,0.9913793103448275,0.9829059829059829
1.0,1.0,1.0,1.0
1.0,0.008130081300813009,0.01612903225806452,0.008130081300813009
1.0,0.875,0.9333333333333333,0.875
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,0.22900763358778625,0.37267080745341613,0.22900763358778625
1.0,0.8267716535433071,0.9051724137931035,0.8267716535433071
1.0,0.984,0.9919354838709677,0.984
1.0,0.014705882352941176,0.028985507246376812,0.014705882352941176
1.0,0.990909090909091,0.995433789954338,0.990909090909091
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.6194690265486725,0.7650273224043715,0.6194690265486725
1.0,1.0,1.0,1.0
1.0,0.006622516556291391,0.013157894736842105,0.006622516556291391
1.0,0.012195121951219513,0.024096385542168676,0.012195121951219513
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.8666666666666667,0.9285714285714286,0.8666666666666667
1.0,0.006369426751592357,0.012658227848101266,0.006369426751592357
1.0,0.05405405405405406,0.10256410256410257,0.05405405405405406
0.0,0.0,0.0,0.0
1.0,0.9865771812080537,0.9932432432432432,0.9865771812080537
0.0,0.0,0.0,0.0
1.0,0.99,0.9949748743718593,0.99
1.0,0.9875,0.9937106918238994,0.9875
1.0,0.9901960784313726,0.9950738916256158,0.9901960784313726
1.0,0.972972972972973,0.9863013698630138,0.972972972972973
1.0,0.9513888888888888,0.9750889679715302,0.9513888888888888
1.0,0.9831932773109243,0.9915254237288135,0.9831932773109243
1.0,0.9416058394160584,0.9699248120300751,0.9416058394160584
1.0,0.849624060150376,0.9186991869918699,0.849624060150376
1.0,0.9813664596273292,0.9905956112852665,0.9813664596273292
1.0,0.8680555555555556,0.929368029739777,0.8680555555555556
1.0,1.0,1.0,1.0
1.0,0.9777777777777777,0.9887640449438202,0.9777777777777777
1.0,0.96,0.9795918367346939,0.96
1.0,0.9727272727272728,0.9861751152073733,0.9727272727272728
1.0,0.958904109589041,0.9790209790209791,0.958904109589041
1.0,0.9708029197080292,0.9851851851851852,0.9708029197080292
0.0,0.0,0.0,0.0
1.0,0.4224137931034483,0.5939393939393939,0.4224137931034483
1.0,0.9841269841269841,0.9919999999999999,0.9841269841269841
1.0,0.8702290076335878,0.9306122448979592,0.8702290076335878
0.0,0.0,0.0,0.0
1.0,0.99,0.9949748743718593,0.99
1.0,0.9578313253012049,0.9784615384615385,0.9578313253012049
1.0,0.9923076923076923,0.9961389961389961,0.9923076923076923
1.0,0.957983193277311,0.9785407725321889,0.957983193277311
1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0
1.0,0.9913793103448276,0.9956709956709957,0.9913793103448276
1.0,0.9186991869918699,0.9576271186440678,0.9186991869918699
0.0,0.0,0.0,0.0
1.0,0.9736842105263158,0.9866666666666666,0.9736842105263158
0.0,0.0,0.0,0.0
